time_ms,ax,ay,az,gx,gy,gz,load_raw
1483144,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-187665
1483198,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-219646
1483249,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-217987
1483300,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-217497
1483350,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-217251
1483400,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-101776
1483451,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,34169
1483501,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,91013
1483553,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,121727
1483603,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,92226
1483658,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,39891
1483710,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-77949
1483760,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-182632
1483812,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-220686
1483862,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-219224
1483918,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-218193
1483970,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-217477
1484020,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-158963
1484073,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,68107
1484123,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,103394
1484174,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,76575
1484224,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-1947
1484274,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-116859
1484324,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-191453
1484374,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-218609
1484429,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-218866
1484481,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-217255
1484531,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-147632
1484584,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,19068
1484634,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,109207
1484684,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,152264
1484734,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,116839
1484784,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-12608
1484838,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-164214
1484892,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-219026
1484944,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-220000
