pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.038831833,126760652,3.266,-9.133,-0.539,0.010,0.008,-0.006,-223027
2.0389675,126764873,3.266,-9.133,-0.539,-0.006,-0.006,0.002,-222553
2.039090792,126769095,3.266,-9.133,-0.539,0.004,0.002,0.000,-222326
2.039216958,126773315,3.305,-9.176,-0.539,0.004,0.002,0.000,-222994
2.039379417,126776536,3.305,-9.176,-0.539,0.008,0.002,0.000,-222893
2.039507458,126781756,3.305,-9.176,-0.539,-0.010,0.006,0.010,-222333
2.039774625,126785977,3.305,-9.176,-0.539,0.004,-0.002,-0.010,-221763
2.039899333,126790198,3.305,-9.176,-0.539,-0.004,0.012,0.012,-222526
2.040043458,126795419,3.305,-9.176,-0.539,-0.004,-0.002,0.004,-223439
2.0401675,126799641,3.305,-9.176,-0.539,0.002,-0.006,0.002,-222833
2.040300375,126805864,3.266,-9.176,-0.617,0.002,-0.006,0.002,-222958
2.040467625,126808084,3.266,-9.176,-0.617,-0.010,-0.002,-0.010,-222954
2.040653583,126812305,3.266,-9.176,-0.617,-0.002,-0.006,0.000,-222715
2.040788,126816526,3.266,-9.176,-0.617,0.000,0.004,0.002,-221963
2.040912792,126820747,3.266,-9.176,-0.617,0.000,0.000,0.000,-221824
2.041041792,126823968,3.227,-9.172,-0.578,0.000,0.000,0.000,-222925
2.041165917,126828188,3.227,-9.172,-0.578,0.000,0.000,0.000,-223008
2.041300125,126832408,3.227,-9.172,-0.578,0.000,0.000,0.000,-221797
2.04142325,126837629,3.227,-9.172,-0.578,0.000,0.000,0.000,-222693
2.0415535,126841850,3.227,-9.172,-0.578,0.000,0.000,0.000,-223267
2.041684708,126846070,3.227,-9.172,-0.578,0.000,0.000,0.000,-222872
2.041810292,126849290,3.266,-9.176,-0.617,0.000,0.000,0.000,-222166
2.041941708,126851511,3.266,-9.176,-0.617,0.000,0.000,0.000,-222750
2.042066708,126856731,3.266,-9.176,-0.617,0.000,0.000,0.000,-222732
2.042195542,126860951,3.266,-9.176,-0.617,0.000,0.000,0.000,-223127
2.0423195,126866171,3.266,-9.176,-0.617,0.000,0.000,0.000,-222169
2.042443708,126870391,3.266,-9.176,-0.617,0.000,0.000,0.000,-222196
2.042836042,126876611,3.266,-9.176,-0.617,0.000,0.000,0.000,-222813
2.042962792,126879831,3.266,-9.133,-0.539,0.000,0.000,0.000,-222017
2.043089083,126884053,3.266,-9.133,-0.539,0.000,0.000,0.000,-223069
2.04320325,126888273,3.266,-9.133,-0.578,0.000,0.000,0.000,-222484
2.043319958,126890494,3.266,-9.133,-0.578,0.000,0.000,0.000,-221960
2.043436833,126894715,3.266,-9.133,-0.578,0.000,0.000,0.000,-223258
2.043556542,126898935,3.266,-9.133,-0.578,0.000,0.000,0.000,-223050
2.043685875,126903155,3.266,-9.133,-0.578,0.000,0.000,0.000,-221802
2.043804833,126907375,3.266,-9.133,-0.578,0.000,0.000,0.000,-222520
2.043923042,126911596,3.266,-9.133,-0.578,0.000,0.000,0.000,-222119
2.04403725,126915816,3.227,-9.137,-0.617,0.000,0.000,0.000,-222750
2.044148292,126918036,3.227,-9.137,-0.617,0.000,0.000,0.000,-222272
2.044270083,126922256,3.227,-9.137,-0.617,0.000,0.000,0.000,-222799
2.044380833,126926477,3.227,-9.137,-0.617,0.000,0.000,0.000,-222388
2.044502958,126930697,3.227,-9.137,-0.617,0.000,0.000,0.000,-221850
2.044614292,126935917,3.227,-9.137,-0.617,0.000,0.000,0.000,-222164
2.044731083,126940138,3.266,-9.133,-0.578,0.000,0.000,0.000,-222780
2.04484775,126942358,3.266,-9.133,-0.578,0.000,0.000,0.000,-222671
2.044959083,126947578,3.266,-9.133,-0.578,0.000,0.000,0.000,-223227
2.045086,126951799,3.266,-9.133,-0.578,0.000,0.000,0.000,-222074
2.045198125,126956020,3.266,-9.133,-0.578,0.000,0.000,0.000,-222234
2.045318333,126960240,3.266,-9.133,-0.578,0.000,0.000,0.000,-223137
2.045428625,126964460,3.266,-9.133,-0.578,0.000,0.000,0.000,-222337
2.045547375,126969681,3.227,-9.172,-0.578,0.000,0.000,0.000,-221602
2.045721708,126971901,3.227,-9.172,-0.578,0.000,0.000,0.000,-222473
2.045835792,126977122,3.227,-9.172,-0.578,0.000,0.000,0.000,-223276
2.045955125,126981343,3.227,-9.172,-0.578,0.000,0.000,0.000,-223226
2.046066042,126985563,3.227,-9.172,-0.578,0.000,0.000,0.000,-222546
2.046185625,126989784,3.227,-9.172,-0.578,0.000,0.000,0.000,-222751
2.046296792,126994005,3.227,-9.172,-0.578,0.000,0.000,0.000,-222629
2.046407917,126998226,3.305,-9.133,-0.578,0.000,0.000,0.000,-222381
2.046574917,127000446,3.305,-9.133,-0.578,0.000,0.000,0.000,-222999
2.046688542,127006667,3.305,-9.133,-0.578,0.000,0.000,0.000,-223009
2.046804667,127010889,3.305,-9.133,-0.578,0.000,0.000,0.000,-223069
2.046922125,127015110,3.305,-9.133,-0.578,0.000,0.000,0.000,-222057
2.047088042,127019330,3.305,-9.133,-0.578,0.000,0.000,0.000,-222086
2.047206625,127024551,3.305,-9.133,-0.578,0.000,0.000,0.000,-223436
2.047320083,127028771,3.266,-9.176,-0.539,0.000,0.000,0.000,-222407
2.047435833,127031992,3.266,-9.176,-0.539,0.000,0.000,0.000,-222530
2.047547583,127038213,3.266,-9.176,-0.539,0.000,0.000,0.000,-221655
2.047664292,127042433,3.266,-9.176,-0.539,0.000,0.000,0.000,-223035
2.047779,127046654,3.266,-9.176,-0.539,0.000,0.000,0.000,-222342
2.047894708,127051876,3.266,-9.176,-0.539,0.000,0.000,0.000,-222384
2.048006792,127059096,3.266,-9.176,-0.539,0.000,0.000,0.000,-223175
2.048118292,127062318,3.305,-9.094,-0.578,0.000,0.000,0.000,-222487
2.048234292,127064539,3.305,-9.094,-0.578,0.000,0.000,0.000,-222511
2.048349083,127069760,3.305,-9.094,-0.578,0.000,0.000,0.000,-222794
2.048465875,127073980,3.305,-9.094,-0.578,0.000,0.000,0.000,-223464
2.048577667,127079200,3.305,-9.094,-0.578,0.000,0.000,0.000,-223262
2.048694083,127084420,3.305,-9.094,-0.578,0.000,0.000,0.000,-222428
2.048805292,127089641,3.227,-9.098,-0.656,0.000,0.000,0.000,-222035
2.048917583,127092861,3.227,-9.098,-0.656,0.000,0.000,0.000,-222162
2.049032458,127099082,3.227,-9.098,-0.656,0.000,0.000,0.000,-222470
2.049136167,127103303,3.227,-9.098,-0.656,0.000,0.000,0.000,-222456
2.049244042,127107524,3.227,-9.098,-0.656,0.000,0.000,0.000,-222818
2.049346208,127111745,3.227,-9.098,-0.656,0.000,0.000,0.000,-222337
2.049457333,127116965,3.227,-9.098,-0.656,0.000,0.000,0.000,-221966
2.0495605,127121186,3.266,-9.094,-0.539,0.000,0.000,0.000,-221990
2.049663208,127124406,3.266,-9.094,-0.539,0.000,0.000,0.000,-223085
2.049775,127129627,3.266,-9.094,-0.539,0.000,0.000,0.000,-222567
2.049880667,127134847,3.266,-9.094,-0.539,0.000,0.000,0.000,-221221
2.04999025,127139068,3.266,-9.094,-0.539,0.000,0.000,0.000,-222048
2.050094625,127143288,3.266,-9.094,-0.539,0.000,0.000,0.000,-223827
2.050234292,127147508,3.266,-9.094,-0.539,0.000,0.000,0.000,-222197
2.050348458,127151728,3.227,-9.172,-0.578,0.000,0.000,0.000,-222920
2.050457167,127154948,3.227,-9.172,-0.578,0.000,0.000,0.000,-221956
2.050565125,127160169,3.227,-9.172,-0.578,0.000,0.000,0.000,-223132
2.050676,127164390,3.227,-9.172,-0.578,0.000,0.000,0.000,-223188
2.050783083,127168610,3.227,-9.172,-0.578,0.000,0.000,0.000,-222358
2.050885417,127172831,3.227,-9.172,-0.578,0.000,0.000,0.000,-223572
2.050991833,127178052,3.227,-9.172,-0.578,0.000,0.000,0.000,-223087
2.051094542,127182272,3.266,-9.133,-0.578,0.000,0.000,0.000,-222247
2.051198542,127185493,3.266,-9.133,-0.578,0.000,0.000,0.000,-222183
2.051304542,127191713,3.266,-9.133,-0.578,0.000,0.000,0.000,-222782
2.051407,127195936,3.266,-9.133,-0.578,0.000,0.000,0.000,-222658
2.051513292,127200157,3.266,-9.133,-0.578,0.000,0.000,0.000,-221640
2.051615333,127204378,3.266,-9.133,-0.578,0.000,0.000,0.000,-221720
2.05172325,127209598,3.266,-9.133,-0.578,0.000,0.000,0.000,-222849
2.051831542,127213819,3.227,-9.172,-0.656,0.000,0.000,0.000,-222338
2.051934125,127217039,3.227,-9.172,-0.656,0.000,0.000,0.000,-221794
2.052044667,127223259,3.227,-9.172,-0.656,0.000,0.000,0.000,-221786
2.052146375,127227480,3.227,-9.172,-0.656,0.000,0.000,0.000,-222998
2.052252333,127231701,3.227,-9.172,-0.656,0.000,0.000,0.000,-222145
2.052354625,127236922,3.227,-9.172,-0.656,0.000,0.000,0.000,-222444
2.052461208,127241143,3.227,-9.172,-0.656,0.000,0.000,0.000,-222923
2.052564167,127245364,3.266,-9.094,-0.539,0.000,0.000,0.000,-222192
2.052672917,127248584,3.266,-9.094,-0.539,0.000,0.000,0.000,-223287
2.052781833,127254804,3.266,-9.094,-0.539,0.000,0.000,0.000,-222563
2.052885542,127260024,3.266,-9.094,-0.539,0.000,0.000,0.000,-222574
2.052994167,127264244,3.266,-9.094,-0.539,0.000,0.000,0.000,-222447
2.053113458,127268465,3.266,-9.094,-0.539,0.000,0.000,0.000,-222098
2.053239792,127272686,3.266,-9.094,-0.539,0.000,0.000,0.000,-222627
2.053349125,127277906,3.227,-9.137,-0.617,0.000,0.000,0.000,-223582
2.05345275,127281127,3.227,-9.137,-0.617,0.000,0.000,0.000,-221947
2.053571167,127286348,3.227,-9.137,-0.617,0.000,0.000,0.000,-222034
2.053673583,127290569,3.227,-9.137,-0.617,0.000,0.000,0.000,-222460
2.053852125,127293789,3.227,-9.137,-0.617,0.000,0.000,0.000,-222908
2.053954917,127299009,3.227,-9.137,-0.617,0.000,0.000,0.000,-223041
2.054063917,127303229,3.227,-9.137,-0.617,0.000,0.000,0.000,-222263
2.054406458,127309450,3.266,-9.176,-0.617,0.000,0.000,0.000,-222146
2.054518958,127311671,3.266,-9.176,-0.617,0.000,0.000,0.000,-222725
2.0546305,127316892,3.266,-9.176,-0.617,0.000,0.000,0.000,-223291
2.054746583,127322113,3.266,-9.176,-0.617,0.000,0.000,0.000,-222260
2.054858958,127327333,3.266,-9.133,-0.578,0.000,0.000,0.000,-222773
2.054964167,127329554,3.266,-9.133,-0.578,0.000,0.000,0.000,-222473
2.055073458,127334775,3.266,-9.133,-0.578,0.000,0.000,0.000,-222859
2.055177708,127338995,3.266,-9.133,-0.578,0.000,0.000,0.000,-223236
2.05528025,127342216,3.266,-9.133,-0.578,0.000,0.000,0.000,-222427
2.0553935,127346436,3.266,-9.133,-0.578,0.000,0.000,0.000,-222276
2.055499167,127351657,3.266,-9.133,-0.578,0.000,0.000,0.000,-222281
2.055607583,127356878,3.266,-9.176,-0.578,0.000,0.000,0.000,-221875
2.055710458,127359098,3.266,-9.176,-0.578,0.000,0.000,0.000,-222451
2.055812375,127364318,3.266,-9.176,-0.578,0.000,0.000,0.000,-222263
2.0559315,127368538,3.266,-9.176,-0.578,0.000,0.000,0.000,-221978
2.05604175,127372759,3.266,-9.176,-0.578,0.000,0.000,0.000,-222574
2.056149833,127376979,3.266,-9.176,-0.617,0.000,0.000,0.000,-222470
2.056255792,127379199,3.266,-9.176,-0.617,0.000,0.000,0.000,-222650
2.05636825,127384419,3.266,-9.176,-0.617,0.000,0.000,0.000,-221842
2.056473583,127388640,3.266,-9.176,-0.617,0.000,0.000,0.000,-222200
2.056586292,127392860,3.266,-9.176,-0.617,0.000,0.000,0.000,-222716
2.056700583,127398083,3.266,-9.176,-0.617,0.000,0.000,0.000,-222696
2.056803167,127402303,3.266,-9.176,-0.617,0.000,0.000,0.000,-222558
2.056909542,127406523,3.266,-9.176,-0.539,0.000,0.000,0.000,-222386
2.057005833,127409743,3.266,-9.176,-0.539,0.000,0.000,0.000,-223618
2.057111458,127415963,3.266,-9.176,-0.539,0.000,0.000,0.000,-222779
2.05720825,127420184,3.266,-9.176,-0.539,0.000,0.000,0.000,-222104
2.057315167,127424405,3.266,-9.176,-0.539,0.000,0.000,0.000,-222698
2.057420875,127429626,3.266,-9.176,-0.539,0.000,0.000,0.000,-222503
2.057521917,127433846,3.266,-9.176,-0.539,0.000,0.000,0.000,-221805
2.057626375,127438066,3.266,-9.172,-0.691,0.000,0.000,0.000,-221869
2.057722417,127440286,3.266,-9.172,-0.691,0.000,0.000,0.000,-222493
2.057820792,127444506,3.266,-9.172,-0.691,0.000,0.000,0.000,-223965
2.0579195,127449726,3.266,-9.094,-0.578,0.000,0.000,0.000,-222796
2.058018792,127452947,3.266,-9.094,-0.578,0.000,0.000,0.000,-222739
2.058122667,127459168,3.266,-9.094,-0.578,0.000,0.000,0.000,-223359
